emoji,code_points,status,name
👴🏽,1F474 1F3FD                                            ,fully-qualified,old man: medium skin tone
👴🏾,1F474 1F3FE                                            ,fully-qualified,old man: medium-dark skin tone
👴🏿,1F474 1F3FF                                            ,fully-qualified,old man: dark skin tone
👵,1F475                                                  ,fully-qualified,old woman
👵🏻,1F475 1F3FB                                            ,fully-qualified,old woman: light skin tone
👵🏼,1F475 1F3FC                                            ,fully-qualified,old woman: medium-light skin tone
👵🏽,1F475 1F3FD                                            ,fully-qualified,old woman: medium skin tone
👵🏾,1F475 1F3FE                                            ,fully-qualified,old woman: medium-dark skin tone
👵🏿,1F475 1F3FF                                            ,fully-qualified,old woman: dark skin tone
🙍,1F64D                                                  ,fully-qualified,person frowning
🙍🏻,1F64D 1F3FB                                            ,fully-qualified,person frowning: light skin tone
🙍🏼,1F64D 1F3FC                                            ,fully-qualified,person frowning: medium-light skin tone
🙍🏽,1F64D 1F3FD                                            ,fully-qualified,person frowning: medium skin tone
🙍🏾,1F64D 1F3FE                                            ,fully-qualified,person frowning: medium-dark skin tone
🙍🏿,1F64D 1F3FF                                            ,fully-qualified,person frowning: dark skin tone
🙍‍♂️,1F64D 200D 2642 FE0F                                   ,fully-qualified,man frowning
🙍‍♂,1F64D 200D 2642                                        ,minimally-qualified,man frowning
🙍🏻‍♂️,1F64D 1F3FB 200D 2642 FE0F                             ,fully-qualified,man frowning: light skin tone
🙍🏻‍♂,1F64D 1F3FB 200D 2642                                  ,minimally-qualified,man frowning: light skin tone
🙍🏼‍♂️,1F64D 1F3FC 200D 2642 FE0F                             ,fully-qualified,man frowning: medium-light skin tone
🙍🏼‍♂,1F64D 1F3FC 200D 2642                                  ,minimally-qualified,man frowning: medium-light skin tone
🙍🏽‍♂️,1F64D 1F3FD 200D 2642 FE0F                             ,fully-qualified,man frowning: medium skin tone
🙍🏽‍♂,1F64D 1F3FD 200D 2642                                  ,minimally-qualified,man frowning: medium skin tone
🙍🏾‍♂️,1F64D 1F3FE 200D 2642 FE0F                             ,fully-qualified,man frowning: medium-dark skin tone
🙍🏾‍♂,1F64D 1F3FE 200D 2642                                  ,minimally-qualified,man frowning: medium-dark skin tone
🙍🏿‍♂️,1F64D 1F3FF 200D 2642 FE0F                             ,fully-qualified,man frowning: dark skin tone
🙍🏿‍♂,1F64D 1F3FF 200D 2642                                  ,minimally-qualified,man frowning: dark skin tone
🙍‍♀️,1F64D 200D 2640 FE0F                                   ,fully-qualified,woman frowning
🙍‍♀,1F64D 200D 2640                                        ,minimally-qualified,woman frowning
🙍🏻‍♀️,1F64D 1F3FB 200D 2640 FE0F                             ,fully-qualified,woman frowning: light skin tone
🙍🏻‍♀,1F64D 1F3FB 200D 2640                                  ,minimally-qualified,woman frowning: light skin tone
🙍🏼‍♀️,1F64D 1F3FC 200D 2640 FE0F                             ,fully-qualified,woman frowning: medium-light skin tone
🙍🏼‍♀,1F64D 1F3FC 200D 2640                                  ,minimally-qualified,woman frowning: medium-light skin tone
🙍🏽‍♀️,1F64D 1F3FD 200D 2640 FE0F                             ,fully-qualified,woman frowning: medium skin tone
🙍🏽‍♀,1F64D 1F3FD 200D 2640                                  ,minimally-qualified,woman frowning: medium skin tone
🙍🏾‍♀️,1F64D 1F3FE 200D 2640 FE0F                             ,fully-qualified,woman frowning: medium-dark skin tone
🙍🏾‍♀,1F64D 1F3FE 200D 2640                                  ,minimally-qualified,woman frowning: medium-dark skin tone
🙍🏿‍♀️,1F64D 1F3FF 200D 2640 FE0F                             ,fully-qualified,woman frowning: dark skin tone
🙍🏿‍♀,1F64D 1F3FF 200D 2640                                  ,minimally-qualified,woman frowning: dark skin tone
🙎,1F64E                                                  ,fully-qualified,person pouting
🙎🏻,1F64E 1F3FB                                            ,fully-qualified,person pouting: light skin tone
🙎🏼,1F64E 1F3FC                                            ,fully-qualified,person pouting: medium-light skin tone
🙎🏽,1F64E 1F3FD                                            ,fully-qualified,person pouting: medium skin tone
🙎🏾,1F64E 1F3FE                                            ,fully-qualified,person pouting: medium-dark skin tone
🙎🏿,1F64E 1F3FF                                            ,fully-qualified,person pouting: dark skin tone
🙎‍♂️,1F64E 200D 2642 FE0F                                   ,fully-qualified,man pouting
🙎‍♂,1F64E 200D 2642                                        ,minimally-qualified,man pouting
🙎🏻‍♂️,1F64E 1F3FB 200D 2642 FE0F                             ,fully-qualified,man pouting: light skin tone
🙎🏻‍♂,1F64E 1F3FB 200D 2642                                  ,minimally-qualified,man pouting: light skin tone
🙎🏼‍♂️,1F64E 1F3FC 200D 2642 FE0F                             ,fully-qualified,man pouting: medium-light skin tone
🙎🏼‍♂,1F64E 1F3FC 200D 2642                                  ,minimally-qualified,man pouting: medium-light skin tone
🙎🏽‍♂️,1F64E 1F3FD 200D 2642 FE0F                             ,fully-qualified,man pouting: medium skin tone
🙎🏽‍♂,1F64E 1F3FD 200D 2642                                  ,minimally-qualified,man pouting: medium skin tone
🙎🏾‍♂️,1F64E 1F3FE 200D 2642 FE0F                             ,fully-qualified,man pouting: medium-dark skin tone
🙎🏾‍♂,1F64E 1F3FE 200D 2642                                  ,minimally-qualified,man pouting: medium-dark skin tone
🙎🏿‍♂️,1F64E 1F3FF 200D 2642 FE0F                             ,fully-qualified,man pouting: dark skin tone
🙎🏿‍♂,1F64E 1F3FF 200D 2642                                  ,minimally-qualified,man pouting: dark skin tone
🙎‍♀️,1F64E 200D 2640 FE0F                                   ,fully-qualified,woman pouting
🙎‍♀,1F64E 200D 2640                                        ,minimally-qualified,woman pouting
🙎🏻‍♀️,1F64E 1F3FB 200D 2640 FE0F                             ,fully-qualified,woman pouting: light skin tone
